Load History,Distance to Task,Total Distance Travelled,Robot Type,Task Type,Capability Match?,Suitability
9,20.540771667150494,27.59770241743541,Large,Large,1,2.094454963541877
2,10.0801963258475,38.72400228615323,Small,Small,1,5.078581591743175
8,8.69087051101153,29.982842978528033,Large,Small,0,0.0
5,9.835623417952547,37.867264704226905,Small,Small,1,3.9194630638276537
1,0.416513525834733,13.78532782576764,Medium,Large,0,0.0
6,22.02236829516776,41.68297714616551,Small,Small,1,1.5338570872469468
3,21.526918458586174,46.45726628607375,Small,Small,1,2.571078865862702
1,10.323033790918107,36.546152151646424,Large,Large,1,5.734622739156491
3,9.924901315489166,20.93286237073842,Small,Small,1,5.007826227769754
4,4.43507433418927,38.906417733206496,Medium,Medium,1,5.200229151316056
6,8.511066540831843,38.24083859529799,Large,Large,1,3.296792125020531
6,0.5553844097043376,27.816991907521928,Large,Large,1,4.385014805542076
6,3.6676257670370664,40.39669484791481,Medium,Medium,1,3.9417134614870544
7,4.21107922067554,13.758041002529614,Medium,Medium,1,5.5623304839648755
9,19.973758474820592,30.98027390124821,Medium,Medium,1,1.7341232462187783
3,21.12978144919779,25.971746161163455,Large,Large,1,3.933858411170582
5,10.55754544905237,38.3247119179978,Medium,Large,0,0.0
1,9.917380360481603,42.39669430301018,Large,Small,0,0.0
0,10.084159172671296,36.00024499494912,Medium,Medium,1,5.93858729404171
2,14.773941427705688,48.01375745748936,Medium,Small,0,0.0
5,20.05278174630409,44.49679003775789,Large,Large,1,2.5154365833906076
4,2.2740073649514194,6.200651334620277,Large,Large,1,7.2889807174781325
5,24.006326076566566,22.36599946071839,Medium,Medium,1,3.054476786866869
0,7.963530555643883,32.952633522332974,Large,Large,1,6.16593439955676
5,0.09570366143225872,41.13170222153278,Medium,Medium,1,4.999999999999999
3,23.58881441059885,33.61636704712516,Large,Large,1,3.2565529895428087
4,7.889582990362454,41.5676366368527,Large,Large,1,4.386064298672017
8,4.466264439618331,5.924245727562477,Medium,Large,0,0.0
7,23.785564428925916,41.51154163409998,Small,Small,1,1.7052753941402465
1,3.542900059410814,10.80975518144856,Medium,Medium,1,7.262768682071934
5,3.499953320609084,9.248545785397672,Large,Large,1,6.322743363725029
4,16.63792158225384,3.7256530838447266,Large,Large,1,5.971507011554482
8,0.9117266667074159,12.49607220565972,Small,Small,1,5.897362384889961
5,8.66324962992058,48.67183160350778,Small,Medium,0,0.0
8,5.420723648523601,33.632574218669525,Medium,Medium,1,3.5036929946821838
7,19.269836931435304,34.06159104453622,Small,Small,1,2.0329324169530354
6,14.007930816578028,20.615726737642586,Small,Large,0,0.0
4,21.1155913616364,6.260917818072443,Large,Large,1,5.209538679641014
5,20.776653587445754,38.09869704161868,Small,Large,0,0.0
7,21.379364793481663,33.05879960516344,Small,Small,1,2.0363057899402195
2,15.229392776085163,45.54764812122548,Small,Large,0,0.0
4,1.2670943442554317,1.5272442701970979,Medium,Small,0,0.0
6,3.8796392549631187,7.543961206736616,Medium,Medium,1,5.972152678218656
0,11.081322078039161,16.745780942706567,Medium,Large,0,0.0
7,7.554154721576153,23.607642787258378,Medium,Medium,1,4.207076129957834
3,0.4980932783577169,42.284082222429156,Large,Large,1,5.690308531090913
5,24.03720004136362,45.03847535964163,Small,Medium,0,0.0
9,18.351217989640496,13.025603564927241,Medium,Medium,1,3.2653832469762953
4,24.62291163797816,15.101311441323423,Medium,Medium,1,3.721560144852659
6,24.939764196048568,24.03223823009687,Small,Small,1,2.8791412231677693
7,20.71943061332306,1.0520487290120006,Large,Large,1,3.76798386312822
8,22.221947310223054,41.97806523194548,Small,Small,1,1.5468805217918533
1,8.192203825209402,33.596527790952145,Large,Large,1,5.965443458062168
3,15.065010581304286,9.281624980506997,Large,Small,0,0.0
1,19.46452545691301,9.815628206283511,Small,Small,1,5.778204484279989
6,17.13045901951011,20.44300948445741,Large,Large,1,3.162281670635054
5,10.390861679146305,23.913096828979345,Medium,Medium,1,4.083333025315318
0,0.5077955218977331,24.770016624242842,Medium,Medium,1,6.881668475530237
1,7.272585226257597,1.195006487378425,Medium,Medium,1,7.778235211559294
3,14.948642941799639,3.533888773844107,Large,Large,1,6.2356638817994705
6,20.345387206291722,49.87227871609801,Small,Small,1,1.6616110135373492
4,7.274195594892063,2.4228355895974496,Medium,Medium,1,6.5753553027436125
2,4.647595015732025,23.75383119086374,Large,Large,1,5.971156747326202
8,4.289702931604166,40.61896704457394,Small,Large,0,0.0
7,7.197875348252433,22.211702233276544,Large,Medium,0,0.0
5,0.06882287547348709,3.8118979160007784,Large,Medium,0,0.0
0,12.751642292826274,23.565152456644356,Large,Medium,0,0.0
4,16.610031603278593,26.63840176706241,Large,Large,1,3.6305367076720887
5,21.950502417342523,18.088427644782186,Small,Small,1,3.72107372139502
2,15.536219891422506,8.490958670061849,Small,Small,1,5.764364448686287
0,14.380764537266149,15.86830529320925,Large,Large,1,6.105657595230037
5,15.110946910517223,11.712416832768973,Medium,Medium,1,4.431667670537034
3,15.764460413074307,29.669582179283516,Medium,Medium,1,3.444589698870547
7,7.964976582194177,23.527550124705122,Large,Large,1,4.200289634174778
6,20.82048169470689,16.97225770308195,Small,Small,1,3.299933752269969
3,17.375906877581496,5.448260178271197,Large,Large,1,5.976219063291253
6,17.00333012152711,16.54122117331812,Medium,Medium,1,3.338974896517275
2,15.9648431089455,34.35195091352478,Medium,Medium,1,3.631195151675083
4,3.6026710321790474,44.22908141188964,Medium,Medium,1,4.783860266688375
2,17.633844639365183,11.578424185690405,Medium,Medium,1,5.366495837008123
6,13.59851832501863,23.05573166799899,Medium,Medium,1,3.4149560827861136
2,14.10884888384811,35.77133722165415,Small,Large,0,0.0
0,6.170677189347251,25.03877830569347,Small,Medium,0,0.0
7,12.471184968363685,37.993637721142,Medium,Medium,1,2.693611553516536
7,22.484107503136578,1.2282283957033568,Large,Small,0,0.0
4,23.33763621103497,17.09519793582219,Small,Small,1,3.5205878314275467
4,0.15009432317671378,41.411603581985965,Medium,Medium,1,5.691505515854573
3,23.44100791404589,37.07206179788976,Medium,Medium,1,3.1661914743060153
9,0.9101741039321987,38.8663387531917,Large,Medium,0,0.0
2,6.5383391782218,13.568364868815458,Large,Large,1,5.879779920110353
2,24.750169217794614,40.814533986601106,Medium,Small,0,0.0
5,2.7225930192738614,23.273978420685914,Large,Medium,0,0.0
5,6.821197479219557,35.07662966701082,Large,Large,1,4.267744788744781
8,6.170819395870194,15.098136357892272,Large,Large,1,4.806380804371666
9,22.39703062043769,36.39482966425025,Small,Large,0,0.0
9,20.40611957792901,13.992468753853382,Small,Small,1,2.9019555123125604
2,17.323459443789364,34.422145885019916,Small,Small,1,3.5211985098624266
6,5.37587083503899,40.02531359770616,Large,Large,1,3.7510834159473645
9,8.19042946705834,32.24203341607966,Large,Large,1,3.1956384384560517
7,1.0286676156847196,46.92471686780365,Small,Small,1,3.76798386312822
0,9.29021065882777,22.983950609994714,Medium,Medium,1,6.211318202073395
5,13.505521767994095,26.3663723054125,Small,Medium,0,0.0
2,20.29305356302069,46.492117256437574,Small,Large,0,0.0
2,18.489017424264762,47.8606371807417,Medium,Medium,1,3.342288675859021
8,5.561641762148237,13.846131529051581,Small,Small,1,4.900799104238745
9,16.08972819621787,12.874305256804686,Large,Large,1,3.517059216079654
9,16.93403289976425,39.8121028389258,Small,Small,1,1.8027443850398726
2,9.171923526452089,26.59161601974373,Large,Large,1,5.283546172460732
4,24.635356375375988,42.518564165658,Large,Large,1,2.4692124135609563
8,7.904089048255194,11.898832126829028,Medium,Medium,1,4.843398601670073
1,8.639517348325851,36.2779126947194,Medium,Small,0,0.0
7,8.742599247423218,19.66215885775988,Medium,Medium,1,4.572985640568672
9,14.803504819026534,25.224720365292203,Small,Large,0,0.0
7,19.090240815715223,36.911657740869984,Medium,Large,0,0.0
6,14.65107893805422,38.291076150515565,Medium,Large,0,0.0
2,9.047208543430227,17.931538183710018,Medium,Medium,1,5.557726687413938
5,8.524179032714171,21.966756816261146,Large,Large,1,4.438946835721613
8,6.840321196743954,13.181945955843988,Large,Large,1,4.74609766283931
1,0.48106630549999974,13.174162909438747,Small,Small,1,7.832166608383032
0,10.701853053276658,14.445313014098454,Small,Small,1,6.553441303705401
0,23.256708417800517,13.345379490271858,Medium,Small,0,0.0
0,17.027127974299642,42.17203942553792,Large,Small,0,0.0
4,15.212474912561161,42.83637472095915,Large,Large,1,3.1189768663279773
4,5.4503696053169985,21.97545226478967,Medium,Medium,1,5.265687700865487
6,14.598134197844908,20.00365348130449,Medium,Small,0,0.0
8,22.170456732620043,25.686914674361983,Medium,Large,0,0.0
3,15.833596657984025,40.41034600751469,Large,Small,0,0.0
9,22.2920670737856,7.699706510633203,Small,Large,0,0.0
2,15.341596605032857,3.517278027126547,Medium,Medium,1,6.531577209342204
6,20.61141291636666,40.77778875479607,Large,Large,1,1.6449858607640488
4,10.157436070865899,29.8374407844207,Small,Small,1,4.411636033903803
5,9.761956494540641,32.74232189431499,Large,Large,1,3.941044346899813
7,3.463476042577682,37.040970810275994,Large,Small,0,0.0
8,10.039865015474101,25.546864797737655,Large,Small,0,0.0
1,16.529647147149834,30.363711335902778,Medium,Medium,1,3.863017056469335
6,3.8450729138713555,20.223936807009075,Medium,Large,0,0.0
1,16.06687029932789,22.393095905834663,Medium,Medium,1,5.054563072144764
8,13.114371750101173,3.4260492127963724,Small,Small,1,4.778088145007824
5,19.849850618555276,31.22410210164126,Medium,Medium,1,2.7073645641314075
4,3.677451785118804,36.489827047921445,Medium,Medium,1,5.395964919132116
1,20.04985344671396,45.75909675870461,Small,Medium,0,0.0
8,19.418155214735155,30.19445691656201,Medium,Small,0,0.0
8,5.400645035131207,43.530886117581126,Large,Medium,0,0.0
4,23.628743601024627,44.49045692920002,Medium,Small,0,0.0
0,10.352545707823996,14.44763541972341,Small,Small,1,6.568369061638749
4,20.375216322905224,26.120002636499134,Medium,Medium,1,3.655137317644015
4,2.3309807207491455,5.28334700820115,Large,Large,1,7.402481369563431
8,17.516150962818568,36.61676301778798,Small,Small,1,2.000922298694281
5,2.4867719202093963,44.722217086429985,Small,Medium,0,0.0
0,13.024993810077781,15.817534519347658,Medium,Small,0,0.0
4,1.5253676091418589,35.36986783636446,Small,Large,0,0.0
7,6.790449772716844,17.229704211537722,Small,Medium,0,0.0
2,10.210539200732846,21.373378345466104,Small,Medium,0,0.0
3,13.630969172326154,45.77858192444735,Small,Small,1,3.5032918280076912
4,7.2928480341608894,31.607090780088352,Medium,Medium,1,4.742063540686228
0,1.3782124872309454,45.48283892443378,Small,Small,1,5.076031239714365
7,8.804165253730522,30.20470162051245,Large,Medium,0,0.0
8,4.590080355794932,26.62066143034703,Medium,Small,0,0.0
2,5.292671080958539,25.670111284758335,Large,Small,0,0.0
2,10.064206254915225,32.223696210165976,Small,Large,0,0.0
3,19.299366553476784,22.534563568789185,Medium,Large,0,0.0
5,6.865013893375457,39.05464493957656,Small,Medium,0,0.0
2,9.954577149728907,45.0879021838782,Small,Small,1,4.303882164345724
0,1.491071152583856,34.133286468814475,Large,Medium,0,0.0
4,20.90834887670275,37.50265992238855,Medium,Medium,1,2.991725864768457
8,11.444168632292124,39.37846779978667,Medium,Medium,1,2.744972419663648
4,21.66701893479614,47.9058883831071,Large,Small,0,0.0
9,16.419812544473874,20.99555861367807,Small,Small,1,3.0366295118996782
9,7.235737015458884,1.7703295676697872,Medium,Small,0,0.0
1,10.081582509726728,43.19933404372099,Small,Medium,0,0.0
7,14.584494780790017,38.95634052908735,Large,Large,1,2.1845057245532304
9,5.388514183915516,49.35521486778961,Medium,Medium,1,2.404811099040445
5,10.621219416612021,34.82288673585344,Small,Small,1,3.93432417268774
1,8.673827397208425,4.491077462214044,Small,Large,0,0.0
9,4.279287623016762,24.27800919231983,Small,Medium,0,0.0
