,Winning Robot,Inference Time,Suitability
0,Robot 1,1.67,7.89
1,Robot 4,2.43,7.93
2,Robot 1,2.93,7.2
3,Robot 3,3.27,8.03
4,Robot 5,4.75,7.64
5,Robot 2,3.07,7.73
6,Robot 6,3.07,8.01
7,Robot 4,2.07,6.84
8,Robot 5,4.37,6.93
9,Robot 4,2.97,6.69
10,Robot 6,3.41,6.76
11,Robot 4,3.94,6.18
12,Robot 6,2.23,6.07
13,Robot 6,2.97,5.79
14,Robot 1,2.64,6.49
15,Robot 3,2.99,6.16
16,Robot 2,3.14,6.73
17,Robot 3,3.51,5.56
18,Robot 2,3.24,6.71
19,Robot 6,2.84,6.97
20,Robot 1,2.6,6.53
21,Robot 1,2.13,6.17
22,Robot 3,2.43,5.67
23,Robot 2,4.46,5.11
24,Robot 3,3.83,5.28
