,Winning Robot,Inference Time,Suitability
0,Robot 1,2.7,8.09
1,Robot 4,3.91,7.8
2,Robot 1,3.79,7.6
3,Robot 3,4.31,7.92
4,Robot 5,5.84,7.38
5,Robot 2,3.99,7.49
6,Robot 6,4.18,7.89
7,Robot 4,2.81,7.02
8,Robot 5,5.31,7.04
9,Robot 4,4.07,6.72
10,Robot 6,4.07,6.96
11,Robot 4,4.92,6.23
12,Robot 6,3.08,5.83
13,Robot 6,4.0,5.7
14,Robot 2,3.27,6.41
15,Robot 3,3.75,6.25
16,Robot 1,4.24,6.53
17,Robot 3,4.36,5.42
18,Robot 2,4.35,6.8
19,Robot 6,3.74,6.87
20,Robot 2,2.64,5.71
21,Robot 2,2.79,6.49
22,Robot 3,2.63,5.71
23,Robot 1,4.65,4.86
24,Robot 3,3.9,5.33
