Load History,Distance to Task,Total Distance Traveled
0.0,18.124,0.0
0.0,24.937,0.0
0.0,13.756,0.0
0.0,8.911,0.0
1.0,5.263,18.124
0.0,23.882,0.0
0.0,11.881,0.0
1.0,5.213,8.911
2.0,9.394,23.387
0.0,25.775,0.0
0.0,14.106,0.0
2.0,9.577,14.123999999999999 
3.0,13.53,32.781
0.0,31.881,0.0
1.0,14.171,14.106
2.0,13.824,14.123999999999999
4.0,28.714,46.311
0.0,7.171,0.0
2.0,28.831,28.277
2.0,22.465,14.123999999999999
4.0,10.411,46.311
1.0,18.866,7.171
2.0,10.528,28.277
3.0,18.788,36.589
4.0,20.563,46.311
2.0,10.279,26.037
3.0,10.503,38.805
3.0,10.252,36.589
4.0,19.218,46.311
3.0,6.772,36.316
3.0,9.187,38.805
4.0,6.481,46.841
4.0,19.922,46.311
4.0,9.445,43.088
4.0,9.975,47.992
4.0,3.861,46.841
4.0,17.08,46.311
5.0,20.818,52.533
4.0,11.165,47.992
5.0,21.064,50.702
0.0,10.157,0.0
0.0,14.125,0.0
0.0,11.71,0.0
0.0,10.537,0.0
1.0,12.602,10.157
0.0,22.708,0.0
0.0,19.678,0.0
1.0,12.694,10.537
2.0,16.829,22.759
0.0,7.777,0.0
0.0,4.747,0.0
2.0,16.633,23.231
2.0,19.989,22.759
1.0,12.512,7.777
1.0,11.922,4.747
2.0,19.793,23.231
2.0,11.496,22.759
2.0,18.462,20.289
2.0,17.87,16.669
2.0,11.446,23.231
3.0,14.236,34.255
2.0,21.55,20.289
2.0,21.042,16.669
3.0,14.494,34.677
3.0,10.955,34.255
3.0,16.952,41.839
3.0,16.623,37.711
3.0,11.18,34.677
4.0,4.047,45.21
3.0,13.617,41.839
3.0,13.287,37.711
4.0,4.009,45.857
5.0,10.952,49.257
3.0,23.795,41.839
3.0,23.466,37.711
5.0,11.069,49.866
6.0,25.963,60.208999999999996
3.0,16.864,41.839
3.0,17.235,37.711
6.0,25.751,60.935
0.0,20.048,0.0
0.0,15.928,0.0
0.0,18.253,0.0
0.0,22.545,0.0
0.0,17.522,0.0
1.0,11.464,15.928
1.0,10.861,18.253
0.0,14.881,0.0
0.0,16.751,0.0
2.0,10.518,27.392000000000003
2.0,11.163,29.114
0.0,16.906,0.0
1.0,10.771,16.751
2.0,11.371,27.392000000000003
2.0,10.846,29.114
1.0,10.78,16.906
2.0,10.308,27.522000000000002
2.0,21.659,27.392000000000003
2.0,21.133,29.114
2.0,10.7,27.686
3.0,23.999,37.83
2.0,10.273,27.392000000000003
2.0,10.799,29.114
3.0,23.871,38.385999999999996
3.0,6.081,37.83
3.0,20.349,37.665000000000006
3.0,20.232,39.913
3.0,5.954,38.385999999999996
4.0,9.633,43.911
3.0,10.763,37.665000000000006
3.0,10.646,39.913
4.0,9.783,44.339999999999996
4.0,16.544,43.911
4.0,9.421,48.428000000000004
4.0,9.992,50.559
4.0,16.694,44.339999999999996
4.0,9.238,43.911
5.0,23.474,57.849000000000004
5.0,23.536,60.551
4.0,9.13,44.339999999999996
0.0,10.561,0.0
0.0,26.962,0.0
0.0,13.345,0.0
0.0,14.881,0.0
1.0,11.123,10.561
0.0,26.883,0.0
1.0,11.031,13.345
0.0,22.545,0.0
2.0,23.564,21.683999999999997
0.0,16.343,0.0
2.0,23.497,24.376
0.0,2.904,0.0
2.0,15.37,21.683999999999997
1.0,19.217,16.343
2.0,15.603,24.376
1.0,19.413,2.904
2.0,20.068,21.683999999999997
2.0,22.975,35.56
2.0,20.001,24.376
2.0,22.634,22.317
3.0,19.596,41.751999999999995
2.0,12.481,35.56
3.0,19.875,44.377
2.0,12.505,22.317
3.0,4.178,41.751999999999995
3.0,20.286,48.041000000000004
3.0,4.252,44.377
3.0,19.87,34.822
4.0,10.791,45.92999999999999
3.0,15.453,48.041000000000004
4.0,10.9,48.629000000000005
3.0,15.037,34.822
5.0,8.55,56.72099999999999
3.0,9.611,48.041000000000004
5.0,8.357,59.529
3.0,9.526,34.822
5.0,12.053,56.72099999999999
4.0,11.428,57.652
5.0,11.446,59.529
4.0,11.325,44.348
0.0,21.109,0.0
0.0,14.555,0.0
0.0,22.708,0.0
0.0,11.523,0.0
0.0,13.898,0.0
1.0,16.412,14.555
0.0,19.138,0.0
1.0,16.483,11.523
1.0,15.156,13.898
1.0,2.591,14.555
0.0,25.204,0.0
2.0,15.651,28.006
1.0,14.669,13.898
2.0,2.619,17.146
0.0,27.429,0.0
3.0,2.441,43.657
1.0,6.456,13.898
3.0,18.617,19.765
0.0,13.541,0.0
4.0,18.075,46.098
2.0,13.201,20.354
3.0,5.645,19.765
1.0,13.122,13.541
4.0,5.22,46.098
2.0,19.718,20.354
4.0,27.779,25.41
2.0,27.767,26.663
4.0,32.765,46.098
3.0,5.041,40.072
4.0,29.462,25.41
3.0,5.124,54.43
4.0,34.448,46.098
4.0,24.549,45.113
4.0,9.279,25.41
4.0,24.745,59.554
4.0,12.318,46.098
4.0,23.589,45.113
5.0,3.209,34.689
4.0,23.786,59.554
5.0,3.851,58.416
0.0,21.307,0.0
0.0,17.701,0.0
0.0,23.839,0.0
0.0,3.376,0.0
0.0,25.61,0.0
1.0,8.915,17.701
0.0,26.962,0.0
1.0,9.423,3.376
0.0,28.046,0.0
2.0,7.985,26.616
0.0,28.077,0.0
2.0,8.047,12.799
0.0,19.97,0.0
3.0,13.356,34.601
0.0,22.502,0.0
3.0,13.444,20.846
1.0,10.456,19.97
3.0,4.897,34.601
0.0,29.762,0.0
4.0,10.294,34.29
2.0,11.047,30.426
3.0,6.383,34.601
0.0,21.927,0.0
5.0,10.888,44.584
2.0,24.238,30.426
4.0,16.781,40.984
1.0,15.973,21.927
5.0,24.48,44.584
3.0,15.798,54.664
4.0,20.407,40.984
2.0,15.315,37.9
5.0,24.569,44.584
4.0,9.353,70.462
4.0,10.709,40.984
3.0,9.845,53.214999999999996
5.0,14.87,44.584
4.0,18.032,70.462
5.0,8.446,51.693
4.0,8.924,63.059999999999995
5.0,6.191,44.584
